Row,Parent Feature Summary,Original Work Alignment,Original Work Category,Story Summary,Original Classification,WAF Run/Change,WAF Color,WAF Category,WAF Sub-Category,Confidence,Classification Rationale
533,SRE Delivery: Chaos Engineering,Black,Enablers,Stabilize fault injection scenarios for distributed services to unblock dependent teams,,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH,SRE + Black → Technical Maintenance
534,Acquisitions ART Production Support,Red,Continuous Improvement,Address production support gaps impacting acquisition flows to drive continuous improvement,,Run,GRAY,KTLO (Keep the Lights On),Acquisition operations,MEDIUM,Acquisitions + Red → KTLO
535,Security & Vulnerability Management,Green,Enablers,Update security scanning rules and suppression logic to unblock dependent teams,,Run,BLACK,Technical Maintenance,Security hardening,MEDIUM,Security + Green + operational → Technical Maintenance
536,Acquisitions ART Production Support,Yellow,Maintenance,Address production support gaps impacting acquisition flows as part of ongoing maintenance activities,Business Maintenance,Run,BLACK,Business Maintenance,Process support changes,HIGH,Pre-classified as Business Maintenance
537,SRE Delivery: Chaos Engineering,Green,Continuous Improvement,Stabilize fault injection scenarios for distributed services to drive continuous improvement,,Change,GREEN,Other Blocked Priority,Resilience improvements,MEDIUM,SRE + Green + CI → Other Blocked Priority
538,Security & Vulnerability Management,Black,Continuous Improvement,Harden service configurations based on security findings to drive continuous improvement,,Run,BLACK,Technical Maintenance,Security hardening,MEDIUM,Security + Black → Technical Maintenance
539,Security & Vulnerability Management,Black,Continuous Improvement,Harden service configurations based on security findings to drive continuous improvement,,Run,BLACK,Technical Maintenance,Security hardening,MEDIUM,Security + Black → Technical Maintenance
540,Acquisitions ART Production Support,Green,Business Functionality,Stabilize acquisition-related batch processing to enable required business functionality,,Run,BLACK,Business Maintenance,Process support changes,MEDIUM,Acquisitions + Green → Business Maintenance
541,Migrated Delivery,Red,Production Support,Resolve post-migration defects impacting service delivery to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
542,Continuous Improvement Feature,Black,Enablers,Improve observability and logging standards to unblock dependent teams,,Run,BLACK,Technical Maintenance,Observability,MEDIUM,CI Feature + Black → Technical Maintenance
543,Acquisitions ART Production Support,Black,Continuous Improvement,Address production support gaps impacting acquisition flows to drive continuous improvement,,Run,BLACK,Business Maintenance,Process support changes,MEDIUM,Acquisitions + Black → Business Maintenance
544,SRE Delivery: Chaos Engineering,Yellow,Enablers,Improve resilience testing coverage for critical workloads to unblock dependent teams,,Change,YELLOW,Top Divisional Priority,SRE initiative,MEDIUM,SRE + Yellow → Divisional Priority
545,Migrated Delivery,Yellow,Enablers,Resolve post-migration defects impacting service delivery to unblock dependent teams,,Change,YELLOW,Top Divisional Priority,Migration completion,MEDIUM,Migrated + Yellow + improvement → Divisional Priority
546,Migrated Delivery,Green,Enablers,Stabilize workloads following platform migration to unblock dependent teams,,Run,BLACK,Technical Maintenance,Platform upgrades,MEDIUM,Migrated + Green → Technical Maintenance
547,Continuous Improvement Feature,Yellow,Maintenance,Optimize deployment workflows for improved reliability as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Optimization,HIGH,Pre-classified as Technical Maintenance
548,Acquisitions ART Production Support,Black,Enablers,Resolve operational issues affecting downstream integrations to unblock dependent teams,,Run,BLACK,Business Maintenance,Process support changes,MEDIUM,Acquisitions + Black → Business Maintenance
549,Security & Vulnerability Management,Yellow,Business Functionality,Remediate identified vulnerabilities in shared services to enable required business functionality,,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM,Security + regulatory signals → Regulatory Operational
550,Acquisitions ART Production Support,Black,Enablers,Stabilize acquisition-related batch processing to unblock dependent teams,,Run,BLACK,Business Maintenance,Process support changes,MEDIUM,Acquisitions + Black → Business Maintenance
551,Migrated Delivery,Green,Enablers,Address technical debt introduced during migration to unblock dependent teams,,Run,BLACK,Technical Maintenance,Tech debt reduction,MEDIUM,Migrated + Green → Technical Maintenance
552,Security & Vulnerability Management,Orange,Production Support,Update security scanning rules and suppression logic to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Security operations,HIGH,Production Support work category → KTLO
553,Continuous Improvement Feature,Green,Business Functionality,Refactor pipeline components to reduce operational overhead to enable required business functionality,,Change,GREEN,Other Blocked Priority,Incremental improvements,MEDIUM,CI Feature + Green → Other Blocked Priority
554,Acquisitions ART Production Support,Red,Enablers,Resolve operational issues affecting downstream integrations to unblock dependent teams,,Run,GRAY,KTLO (Keep the Lights On),Acquisition operations,MEDIUM,Acquisitions + Red → KTLO
555,Security & Vulnerability Management,Black,Production Support,Update security scanning rules and suppression logic to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Security operations,HIGH,Production Support work category → KTLO
556,SRE Delivery: Chaos Engineering,Red,Continuous Improvement,Stabilize fault injection scenarios for distributed services to drive continuous improvement,,Run,GRAY,KTLO (Keep the Lights On),Reliability operations,MEDIUM,SRE + Red (high-priority operational) → KTLO
557,Acquisitions ART Production Support,Green,Enablers,Resolve operational issues affecting downstream integrations to unblock dependent teams,,Run,BLACK,Business Maintenance,Process support changes,MEDIUM,Acquisitions + Green → Business Maintenance
558,Continuous Improvement Feature,Red,Enablers,Improve observability and logging standards to unblock dependent teams,,Run,GRAY,KTLO (Keep the Lights On),Operational improvement,MEDIUM,CI Feature + Red → KTLO (urgent operational)
559,Migrated Delivery,Yellow,Enablers,Stabilize workloads following platform migration to unblock dependent teams,,Change,YELLOW,Top Divisional Priority,Migration completion,MEDIUM,Migrated + Yellow + improvement → Divisional Priority
560,SRE Delivery: Chaos Engineering,Green,Enablers,Improve resilience testing coverage for critical workloads to unblock dependent teams,,Run,BLACK,Technical Maintenance,Reliability improvement,MEDIUM,SRE + Green → Technical Maintenance
561,Migrated Delivery,Yellow,Enablers,Stabilize workloads following platform migration to unblock dependent teams,,Change,YELLOW,Top Divisional Priority,Migration completion,MEDIUM,Migrated + Yellow + improvement → Divisional Priority
562,Migrated Delivery,Green,Production Support,Address technical debt introduced during migration to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
563,SRE Delivery: Chaos Engineering,Red,Continuous Improvement,Improve resilience testing coverage for critical workloads to drive continuous improvement,,Run,GRAY,KTLO (Keep the Lights On),Reliability operations,MEDIUM,SRE + Red (high-priority operational) → KTLO
564,SRE Delivery: Chaos Engineering,Black,Business Functionality,Stabilize fault injection scenarios for distributed services to enable required business functionality,,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH,SRE + Black → Technical Maintenance
565,Security & Vulnerability Management,Green,Continuous Improvement,Harden service configurations based on security findings to drive continuous improvement,,Change,GREEN,Other Blocked Priority,Security improvements,MEDIUM,Security + Green + CI → Other Blocked Priority
566,SRE Delivery: Chaos Engineering,Black,Business Functionality,Stabilize fault injection scenarios for distributed services to enable required business functionality,,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH,SRE + Black → Technical Maintenance
567,SRE Delivery: Chaos Engineering,Orange,Continuous Improvement,Stabilize fault injection scenarios for distributed services to drive continuous improvement,,Change,ORANGE,Enterprise Strategic Priority,Reliability engineering,MEDIUM,SRE + Orange → Enterprise Strategic
568,Security & Vulnerability Management,Black,Maintenance,Harden service configurations based on security findings as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Security hardening,HIGH,Pre-classified as Technical Maintenance
569,Security & Vulnerability Management,Green,Business Functionality,Update security scanning rules and suppression logic to enable required business functionality,,Run,BLACK,Technical Maintenance,Security hardening,MEDIUM,Security + Green + operational → Technical Maintenance
570,Migrated Delivery,Orange,Production Support,Address technical debt introduced during migration to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
571,Security & Vulnerability Management,Orange,Enablers,Harden service configurations based on security findings to unblock dependent teams,,Change,ORANGE,Enterprise Strategic Priority,Security infrastructure,MEDIUM,Security + Orange → Enterprise Strategic
572,Continuous Improvement Feature,Orange,Business Functionality,Improve observability and logging standards to enable required business functionality,,Change,ORANGE,Enterprise Strategic Priority,Process transformation,MEDIUM,CI Feature + Orange → Enterprise Strategic
573,Migrated Delivery,Orange,Continuous Improvement,Resolve post-migration defects impacting service delivery to drive continuous improvement,,Change,ORANGE,Enterprise Strategic Priority,Migration transformation,MEDIUM,Migrated + Orange → Enterprise Strategic
574,Migrated Delivery,Red,Business Functionality,Stabilize workloads following platform migration to enable required business functionality,,Run,GRAY,KTLO (Keep the Lights On),Post-migration stabilization,MEDIUM,Migrated + Red + Business Functionality → KTLO (urgent post-migration)
575,Continuous Improvement Feature,Yellow,Business Functionality,Optimize deployment workflows for improved reliability to enable required business functionality,,Change,YELLOW,Top Divisional Priority,CI initiative,MEDIUM,CI Feature + Yellow → Divisional Priority
576,SRE Delivery: Chaos Engineering,Yellow,Maintenance,Improve resilience testing coverage for critical workloads as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH,Pre-classified as Technical Maintenance
577,Security & Vulnerability Management,Red,Continuous Improvement,Remediate identified vulnerabilities in shared services to drive continuous improvement,,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM,Security + Red + regulatory → Regulatory Operational
578,SRE Delivery: Chaos Engineering,Black,Enablers,Improve resilience testing coverage for critical workloads to unblock dependent teams,,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH,SRE + Black → Technical Maintenance
579,Security & Vulnerability Management,Black,Enablers,Harden service configurations based on security findings to unblock dependent teams,,Run,BLACK,Technical Maintenance,Security hardening,MEDIUM,Security + Black → Technical Maintenance
580,Continuous Improvement Feature,Red,Maintenance,Improve observability and logging standards as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Observability,HIGH,Pre-classified as Technical Maintenance
581,Acquisitions ART Production Support,Yellow,Maintenance,Resolve operational issues affecting downstream integrations as part of ongoing maintenance activities,Business Maintenance,Run,BLACK,Business Maintenance,Process support changes,HIGH,Pre-classified as Business Maintenance
582,Continuous Improvement Feature,Green,Continuous Improvement,Refactor pipeline components to reduce operational overhead to drive continuous improvement,,Change,GREEN,Other Blocked Priority,Incremental improvements,MEDIUM,CI Feature + Green → Other Blocked Priority
583,Acquisitions ART Production Support,Red,Enablers,Stabilize acquisition-related batch processing to unblock dependent teams,,Run,GRAY,KTLO (Keep the Lights On),Acquisition operations,MEDIUM,Acquisitions + Red → KTLO
584,Continuous Improvement Feature,Orange,Continuous Improvement,Refactor pipeline components to reduce operational overhead to drive continuous improvement,,Change,ORANGE,Enterprise Strategic Priority,Process transformation,MEDIUM,CI Feature + Orange → Enterprise Strategic
585,Security & Vulnerability Management,Yellow,Production Support,Update security scanning rules and suppression logic to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Security operations,HIGH,Production Support work category → KTLO
586,Migrated Delivery,Red,Production Support,Resolve post-migration defects impacting service delivery to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
587,Security & Vulnerability Management,Black,Maintenance,Remediate identified vulnerabilities in shared services as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Security hardening,HIGH,Pre-classified as Technical Maintenance
588,Continuous Improvement Feature,Black,Production Support,Refactor pipeline components to reduce operational overhead to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
589,Acquisitions ART Production Support,Green,Business Functionality,Stabilize acquisition-related batch processing to enable required business functionality,,Run,BLACK,Business Maintenance,Process support changes,MEDIUM,Acquisitions + Green → Business Maintenance
590,Security & Vulnerability Management,Orange,Production Support,Update security scanning rules and suppression logic to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Security operations,HIGH,Production Support work category → KTLO
591,Security & Vulnerability Management,Black,Maintenance,Harden service configurations based on security findings as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Security hardening,HIGH,Pre-classified as Technical Maintenance
592,Migrated Delivery,Green,Enablers,Address technical debt introduced during migration to unblock dependent teams,,Run,BLACK,Technical Maintenance,Tech debt reduction,MEDIUM,Migrated + Green → Technical Maintenance
593,Security & Vulnerability Management,Green,Maintenance,Update security scanning rules and suppression logic as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Security hardening,HIGH,Pre-classified as Technical Maintenance
594,Acquisitions ART Production Support,Black,Maintenance,Address production support gaps impacting acquisition flows as part of ongoing maintenance activities,Business Maintenance,Run,BLACK,Business Maintenance,Process support changes,HIGH,Pre-classified as Business Maintenance
595,Security & Vulnerability Management,Red,Business Functionality,Update security scanning rules and suppression logic to enable required business functionality,,Run,GRAY,KTLO (Keep the Lights On),Security operations,MEDIUM,Security + Red (high-priority operational) → KTLO
596,SRE Delivery: Chaos Engineering,Yellow,Business Functionality,Improve resilience testing coverage for critical workloads to enable required business functionality,,Change,YELLOW,Top Divisional Priority,SRE initiative,MEDIUM,SRE + Yellow → Divisional Priority
597,Security & Vulnerability Management,Green,Continuous Improvement,Update security scanning rules and suppression logic to drive continuous improvement,,Change,GREEN,Other Blocked Priority,Security improvements,MEDIUM,Security + Green + CI → Other Blocked Priority
598,Security & Vulnerability Management,Orange,Business Functionality,Update security scanning rules and suppression logic to enable required business functionality,,Change,ORANGE,Enterprise Strategic Priority,Security infrastructure,MEDIUM,Security + Orange → Enterprise Strategic
599,Migrated Delivery,Black,Production Support,Stabilize workloads following platform migration to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
600,Security & Vulnerability Management,Yellow,Enablers,Harden service configurations based on security findings to unblock dependent teams,,Change,YELLOW,Top Divisional Priority,Security initiative,MEDIUM,Security + Yellow → Divisional Priority
601,Security & Vulnerability Management,Yellow,Continuous Improvement,Update security scanning rules and suppression logic to drive continuous improvement,,Change,YELLOW,Top Divisional Priority,Security initiative,MEDIUM,Security + Yellow → Divisional Priority
602,Security & Vulnerability Management,Red,Maintenance,Remediate identified vulnerabilities in shared services as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Security hardening,HIGH,Pre-classified as Technical Maintenance
603,SRE Delivery: Chaos Engineering,Black,Maintenance,Improve resilience testing coverage for critical workloads as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH,Pre-classified as Technical Maintenance
604,Continuous Improvement Feature,Yellow,Maintenance,Optimize deployment workflows for improved reliability as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Optimization,HIGH,Pre-classified as Technical Maintenance
605,Continuous Improvement Feature,Green,Business Functionality,Refactor pipeline components to reduce operational overhead to enable required business functionality,,Change,GREEN,Other Blocked Priority,Incremental improvements,MEDIUM,CI Feature + Green → Other Blocked Priority
606,Acquisitions ART Production Support,Orange,Business Functionality,Address production support gaps impacting acquisition flows to enable required business functionality,,Change,ORANGE,Enterprise Strategic Priority,Acquisition integration,MEDIUM,Acquisitions + Orange → Enterprise Strategic
607,Acquisitions ART Production Support,Green,Continuous Improvement,Address production support gaps impacting acquisition flows to drive continuous improvement,,Change,GREEN,Other Blocked Priority,Acquisition improvements,MEDIUM,Acquisitions + Green + CI → Other Blocked Priority
608,Acquisitions ART Production Support,Green,Enablers,Stabilize acquisition-related batch processing to unblock dependent teams,,Run,BLACK,Business Maintenance,Process support changes,MEDIUM,Acquisitions + Green → Business Maintenance
609,Security & Vulnerability Management,Green,Maintenance,Remediate identified vulnerabilities in shared services as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Security hardening,HIGH,Pre-classified as Technical Maintenance
610,SRE Delivery: Chaos Engineering,Red,Enablers,Stabilize fault injection scenarios for distributed services to unblock dependent teams,,Run,GRAY,KTLO (Keep the Lights On),Reliability operations,MEDIUM,SRE + Red (high-priority operational) → KTLO
611,Security & Vulnerability Management,Orange,Enablers,Update security scanning rules and suppression logic to unblock dependent teams,,Change,ORANGE,Enterprise Strategic Priority,Security infrastructure,MEDIUM,Security + Orange → Enterprise Strategic
612,SRE Delivery: Chaos Engineering,Yellow,Business Functionality,Improve resilience testing coverage for critical workloads to enable required business functionality,,Change,YELLOW,Top Divisional Priority,SRE initiative,MEDIUM,SRE + Yellow → Divisional Priority
613,Migrated Delivery,Yellow,Production Support,Resolve post-migration defects impacting service delivery to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
614,Continuous Improvement Feature,Orange,Continuous Improvement,Optimize deployment workflows for improved reliability to drive continuous improvement,,Change,ORANGE,Enterprise Strategic Priority,Process transformation,MEDIUM,CI Feature + Orange → Enterprise Strategic
615,SRE Delivery: Chaos Engineering,Yellow,Production Support,Refine chaos experiment execution and rollback mechanisms to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
616,SRE Delivery: Chaos Engineering,Orange,Enablers,Stabilize fault injection scenarios for distributed services to unblock dependent teams,,Change,ORANGE,Enterprise Strategic Priority,Reliability engineering,MEDIUM,SRE + Orange → Enterprise Strategic
617,Security & Vulnerability Management,Green,Enablers,Harden service configurations based on security findings to unblock dependent teams,,Run,BLACK,Technical Maintenance,Security hardening,MEDIUM,Security + Green + operational → Technical Maintenance
618,Continuous Improvement Feature,Black,Enablers,Optimize deployment workflows for improved reliability to unblock dependent teams,,Run,BLACK,Technical Maintenance,Optimization,MEDIUM,CI Feature + Black → Technical Maintenance
619,Continuous Improvement Feature,Black,Production Support,Improve observability and logging standards to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
620,Migrated Delivery,Red,Continuous Improvement,Stabilize workloads following platform migration to drive continuous improvement,,Run,GRAY,KTLO (Keep the Lights On),Post-migration stabilization,MEDIUM,Migrated + Red → KTLO
621,Acquisitions ART Production Support,Orange,Enablers,Address production support gaps impacting acquisition flows to unblock dependent teams,,Change,ORANGE,Enterprise Strategic Priority,Acquisition integration,MEDIUM,Acquisitions + Orange → Enterprise Strategic
622,Continuous Improvement Feature,Green,Maintenance,Improve observability and logging standards as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Observability,HIGH,Pre-classified as Technical Maintenance
623,SRE Delivery: Chaos Engineering,Yellow,Production Support,Stabilize fault injection scenarios for distributed services to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
624,Security & Vulnerability Management,Black,Continuous Improvement,Update security scanning rules and suppression logic to drive continuous improvement,,Run,BLACK,Technical Maintenance,Security hardening,MEDIUM,Security + Black → Technical Maintenance
625,Migrated Delivery,Black,Maintenance,Address technical debt introduced during migration as part of ongoing maintenance activities,Business Maintenance,Run,BLACK,Business Maintenance,Process support changes,HIGH,Pre-classified as Business Maintenance
626,Continuous Improvement Feature,Red,Production Support,Optimize deployment workflows for improved reliability to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
627,Migrated Delivery,Orange,Continuous Improvement,Address technical debt introduced during migration to drive continuous improvement,,Change,ORANGE,Enterprise Strategic Priority,Migration transformation,MEDIUM,Migrated + Orange → Enterprise Strategic
628,Acquisitions ART Production Support,Red,Enablers,Address production support gaps impacting acquisition flows to unblock dependent teams,,Run,GRAY,KTLO (Keep the Lights On),Acquisition operations,MEDIUM,Acquisitions + Red → KTLO
629,Acquisitions ART Production Support,Black,Enablers,Address production support gaps impacting acquisition flows to unblock dependent teams,,Run,BLACK,Business Maintenance,Process support changes,MEDIUM,Acquisitions + Black → Business Maintenance
630,Continuous Improvement Feature,Black,Enablers,Optimize deployment workflows for improved reliability to unblock dependent teams,,Run,BLACK,Technical Maintenance,Optimization,MEDIUM,CI Feature + Black → Technical Maintenance
631,Security & Vulnerability Management,Red,Continuous Improvement,Update security scanning rules and suppression logic to drive continuous improvement,,Run,GRAY,KTLO (Keep the Lights On),Security operations,MEDIUM,Security + Red (high-priority operational) → KTLO
632,Continuous Improvement Feature,Red,Enablers,Optimize deployment workflows for improved reliability to unblock dependent teams,,Run,GRAY,KTLO (Keep the Lights On),Operational improvement,MEDIUM,CI Feature + Red → KTLO (urgent operational)
633,Continuous Improvement Feature,Black,Continuous Improvement,Refactor pipeline components to reduce operational overhead to drive continuous improvement,,Run,BLACK,Technical Maintenance,Tech debt reduction,MEDIUM,CI Feature + Black → Technical Maintenance
634,SRE Delivery: Chaos Engineering,Orange,Maintenance,Improve resilience testing coverage for critical workloads as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH,Pre-classified as Technical Maintenance
635,Continuous Improvement Feature,Black,Enablers,Optimize deployment workflows for improved reliability to unblock dependent teams,,Run,BLACK,Technical Maintenance,Optimization,MEDIUM,CI Feature + Black → Technical Maintenance
636,Migrated Delivery,Red,Production Support,Address technical debt introduced during migration to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
637,Security & Vulnerability Management,Orange,Continuous Improvement,Harden service configurations based on security findings to drive continuous improvement,,Change,ORANGE,Enterprise Strategic Priority,Security infrastructure,MEDIUM,Security + Orange → Enterprise Strategic
638,Continuous Improvement Feature,Yellow,Business Functionality,Improve observability and logging standards to enable required business functionality,,Change,YELLOW,Top Divisional Priority,CI initiative,MEDIUM,CI Feature + Yellow → Divisional Priority
639,Acquisitions ART Production Support,Yellow,Business Functionality,Stabilize acquisition-related batch processing to enable required business functionality,,Change,YELLOW,Top Divisional Priority,Acquisition initiative,MEDIUM,Acquisitions + Yellow → Divisional Priority
640,SRE Delivery: Chaos Engineering,Orange,Maintenance,Refine chaos experiment execution and rollback mechanisms as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH,Pre-classified as Technical Maintenance
641,Acquisitions ART Production Support,Green,Business Functionality,Stabilize acquisition-related batch processing to enable required business functionality,,Run,BLACK,Business Maintenance,Process support changes,MEDIUM,Acquisitions + Green → Business Maintenance
642,Continuous Improvement Feature,Orange,Production Support,Improve observability and logging standards to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
643,Continuous Improvement Feature,Orange,Maintenance,Improve observability and logging standards as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Observability,HIGH,Pre-classified as Technical Maintenance
644,Migrated Delivery,Green,Enablers,Address technical debt introduced during migration to unblock dependent teams,,Run,BLACK,Technical Maintenance,Tech debt reduction,MEDIUM,Migrated + Green → Technical Maintenance
645,Continuous Improvement Feature,Orange,Production Support,Refactor pipeline components to reduce operational overhead to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
646,SRE Delivery: Chaos Engineering,Black,Maintenance,Stabilize fault injection scenarios for distributed services as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH,Pre-classified as Technical Maintenance
647,SRE Delivery: Chaos Engineering,Orange,Business Functionality,Improve resilience testing coverage for critical workloads to enable required business functionality,,Change,ORANGE,Enterprise Strategic Priority,Reliability engineering,MEDIUM,SRE + Orange → Enterprise Strategic
648,Migrated Delivery,Green,Maintenance,Stabilize workloads following platform migration as part of ongoing maintenance activities,Business Maintenance,Run,BLACK,Business Maintenance,Process support changes,HIGH,Pre-classified as Business Maintenance
649,Migrated Delivery,Black,Enablers,Stabilize workloads following platform migration to unblock dependent teams,,Run,BLACK,Technical Maintenance,Platform upgrades,HIGH,Migrated + Black → Technical Maintenance
650,Continuous Improvement Feature,Green,Maintenance,Improve observability and logging standards as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Observability,HIGH,Pre-classified as Technical Maintenance
651,Acquisitions ART Production Support,Black,Continuous Improvement,Stabilize acquisition-related batch processing to drive continuous improvement,,Run,BLACK,Business Maintenance,Process support changes,MEDIUM,Acquisitions + Black → Business Maintenance
652,Security & Vulnerability Management,Red,Enablers,Remediate identified vulnerabilities in shared services to unblock dependent teams,,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM,Security + Red + regulatory → Regulatory Operational
653,Continuous Improvement Feature,Black,Continuous Improvement,Refactor pipeline components to reduce operational overhead to drive continuous improvement,,Run,BLACK,Technical Maintenance,Tech debt reduction,MEDIUM,CI Feature + Black → Technical Maintenance
654,Acquisitions ART Production Support,Green,Business Functionality,Address production support gaps impacting acquisition flows to enable required business functionality,,Run,BLACK,Business Maintenance,Process support changes,MEDIUM,Acquisitions + Green → Business Maintenance
655,Acquisitions ART Production Support,Green,Business Functionality,Address production support gaps impacting acquisition flows to enable required business functionality,,Run,BLACK,Business Maintenance,Process support changes,MEDIUM,Acquisitions + Green → Business Maintenance
656,Acquisitions ART Production Support,Orange,Enablers,Resolve operational issues affecting downstream integrations to unblock dependent teams,,Change,ORANGE,Enterprise Strategic Priority,Acquisition integration,MEDIUM,Acquisitions + Orange → Enterprise Strategic
657,Migrated Delivery,Green,Continuous Improvement,Address technical debt introduced during migration to drive continuous improvement,,Change,GREEN,Other Blocked Priority,Post-migration improvements,MEDIUM,Migrated + Green + CI → Other Blocked Priority
658,Security & Vulnerability Management,Yellow,Maintenance,Remediate identified vulnerabilities in shared services as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Security hardening,HIGH,Pre-classified as Technical Maintenance
659,Acquisitions ART Production Support,Red,Continuous Improvement,Stabilize acquisition-related batch processing to drive continuous improvement,,Run,GRAY,KTLO (Keep the Lights On),Acquisition operations,MEDIUM,Acquisitions + Red → KTLO
660,Migrated Delivery,Yellow,Business Functionality,Resolve post-migration defects impacting service delivery to enable required business functionality,,Run,BLACK,Technical Maintenance,Platform upgrades,MEDIUM,Migrated + Yellow → Technical Maintenance
661,Migrated Delivery,Black,Business Functionality,Stabilize workloads following platform migration to enable required business functionality,,Run,BLACK,Technical Maintenance,Platform upgrades,HIGH,Migrated + Black → Technical Maintenance
662,Migrated Delivery,Red,Continuous Improvement,Address technical debt introduced during migration to drive continuous improvement,,Run,GRAY,KTLO (Keep the Lights On),Post-migration stabilization,MEDIUM,Migrated + Red → KTLO
663,Acquisitions ART Production Support,Green,Production Support,Resolve operational issues affecting downstream integrations to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
664,SRE Delivery: Chaos Engineering,Orange,Enablers,Improve resilience testing coverage for critical workloads to unblock dependent teams,,Change,ORANGE,Enterprise Strategic Priority,Reliability engineering,MEDIUM,SRE + Orange → Enterprise Strategic
665,Migrated Delivery,Black,Business Functionality,Stabilize workloads following platform migration to enable required business functionality,,Run,BLACK,Technical Maintenance,Platform upgrades,HIGH,Migrated + Black → Technical Maintenance
666,Security & Vulnerability Management,Red,Maintenance,Remediate identified vulnerabilities in shared services as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Security hardening,HIGH,Pre-classified as Technical Maintenance
667,Acquisitions ART Production Support,Yellow,Enablers,Stabilize acquisition-related batch processing to unblock dependent teams,,Change,YELLOW,Top Divisional Priority,Acquisition initiative,MEDIUM,Acquisitions + Yellow → Divisional Priority
668,Acquisitions ART Production Support,Black,Business Functionality,Stabilize acquisition-related batch processing to enable required business functionality,,Run,BLACK,Business Maintenance,Process support changes,MEDIUM,Acquisitions + Black → Business Maintenance
669,SRE Delivery: Chaos Engineering,Green,Continuous Improvement,Stabilize fault injection scenarios for distributed services to drive continuous improvement,,Change,GREEN,Other Blocked Priority,Resilience improvements,MEDIUM,SRE + Green + CI → Other Blocked Priority
670,Acquisitions ART Production Support,Black,Continuous Improvement,Stabilize acquisition-related batch processing to drive continuous improvement,,Run,BLACK,Business Maintenance,Process support changes,MEDIUM,Acquisitions + Black → Business Maintenance
