Row,Parent Feature Summary,Story Summary,WAF Run/Change,WAF Color,WAF Category,WAF Sub-Category,Confidence
501,Migrated Delivery,Resolve post-migration defects impacting service delivery to unblock dependent teams,Change,YELLOW,Top Divisional Priority,Migration completion,MEDIUM
502,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead to enable required business functionality,Change,GREEN,Other Blocked Priority,Incremental improvements,MEDIUM
503,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows as part of ongoing maintenance activities,Run,BLACK,Business Maintenance,Process support changes,HIGH
504,Migrated Delivery,Address technical debt introduced during migration to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
505,Acquisitions ART Production Support,Stabilize acquisition-related batch processing to enable required business functionality,Change,YELLOW,Top Divisional Priority,Acquisition initiative,MEDIUM
506,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads to unblock dependent teams,Change,YELLOW,Top Divisional Priority,SRE initiative,MEDIUM
507,Continuous Improvement Feature,Improve observability and logging standards to enable required business functionality,Run,BLACK,Technical Maintenance,Observability,MEDIUM
508,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Tech debt reduction,HIGH
509,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads to unblock dependent teams,Change,ORANGE,Enterprise Strategic Priority,Reliability engineering,MEDIUM
510,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
511,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services to enable required business functionality,Change,ORANGE,Enterprise Strategic Priority,Reliability engineering,MEDIUM
512,Migrated Delivery,Resolve post-migration defects impacting service delivery to unblock dependent teams,Run,GRAY,KTLO (Keep the Lights On),Post-migration stabilization,MEDIUM
513,Migrated Delivery,Address technical debt introduced during migration to enable required business functionality,Run,BLACK,Technical Maintenance,Tech debt reduction,HIGH
514,Security & Vulnerability Management,Harden service configurations based on security findings to drive continuous improvement,Run,BLACK,Technical Maintenance,Security hardening,MEDIUM
515,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
516,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads to support production operations,Run,GRAY,KTLO (Keep the Lights On),Emergency break-fix,HIGH
517,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to enable required business functionality,Run,BLACK,Business Maintenance,Process support changes,MEDIUM
518,Continuous Improvement Feature,Improve observability and logging standards to unblock dependent teams,Change,YELLOW,Top Divisional Priority,CI initiative,MEDIUM
519,Acquisitions ART Production Support,Resolve operational issues affecting downstream integrations to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
520,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead to unblock dependent teams,Run,GRAY,KTLO (Keep the Lights On),Operational improvement,MEDIUM
521,Migrated Delivery,Resolve post-migration defects impacting service delivery to unblock dependent teams,Run,BLACK,Technical Maintenance,Platform upgrades,MEDIUM
522,Security & Vulnerability Management,Harden service configurations based on security findings to support production operations,Run,GRAY,KTLO (Keep the Lights On),Security operations,HIGH
523,Security & Vulnerability Management,Remediate identified vulnerabilities in shared services as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Security hardening,HIGH
524,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services to enable required business functionality,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
525,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead to drive continuous improvement,Change,YELLOW,Top Divisional Priority,CI initiative,MEDIUM
526,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to unblock dependent teams,Change,YELLOW,Top Divisional Priority,Acquisition initiative,MEDIUM
527,Security & Vulnerability Management,Harden service configurations based on security findings to drive continuous improvement,Change,YELLOW,Top Divisional Priority,Security initiative,MEDIUM
528,Security & Vulnerability Management,Harden service configurations based on security findings to support production operations,Run,GRAY,KTLO (Keep the Lights On),Security operations,HIGH
529,Continuous Improvement Feature,Optimize deployment workflows for improved reliability to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
530,Continuous Improvement Feature,Optimize deployment workflows for improved reliability to unblock dependent teams,Run,GRAY,KTLO (Keep the Lights On),Operational improvement,MEDIUM
531,Continuous Improvement Feature,Optimize deployment workflows for improved reliability to unblock dependent teams,Run,GRAY,KTLO (Keep the Lights On),Operational improvement,MEDIUM
532,Migrated Delivery,Address technical debt introduced during migration to unblock dependent teams,Change,YELLOW,Top Divisional Priority,Migration completion,MEDIUM
533,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services to unblock dependent teams,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
534,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to drive continuous improvement,Run,GRAY,KTLO (Keep the Lights On),Acquisition operations,MEDIUM
535,Security & Vulnerability Management,Update security scanning rules and suppression logic to unblock dependent teams,Run,BLACK,Technical Maintenance,Security hardening,MEDIUM
536,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows as part of ongoing maintenance activities,Run,BLACK,Business Maintenance,Process support changes,HIGH
537,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services to drive continuous improvement,Change,GREEN,Other Blocked Priority,Resilience improvements,MEDIUM
538,Security & Vulnerability Management,Harden service configurations based on security findings to drive continuous improvement,Run,BLACK,Technical Maintenance,Security hardening,MEDIUM
539,Security & Vulnerability Management,Harden service configurations based on security findings to drive continuous improvement,Run,BLACK,Technical Maintenance,Security hardening,MEDIUM
540,Acquisitions ART Production Support,Stabilize acquisition-related batch processing to enable required business functionality,Run,BLACK,Business Maintenance,Process support changes,MEDIUM
541,Migrated Delivery,Resolve post-migration defects impacting service delivery to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
542,Continuous Improvement Feature,Improve observability and logging standards to unblock dependent teams,Run,BLACK,Technical Maintenance,Observability,MEDIUM
543,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to drive continuous improvement,Run,BLACK,Business Maintenance,Process support changes,MEDIUM
544,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads to unblock dependent teams,Change,YELLOW,Top Divisional Priority,SRE initiative,MEDIUM
545,Migrated Delivery,Resolve post-migration defects impacting service delivery to unblock dependent teams,Change,YELLOW,Top Divisional Priority,Migration completion,MEDIUM
546,Migrated Delivery,Stabilize workloads following platform migration to unblock dependent teams,Run,BLACK,Technical Maintenance,Platform upgrades,MEDIUM
547,Continuous Improvement Feature,Optimize deployment workflows for improved reliability as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Optimization,HIGH
548,Acquisitions ART Production Support,Resolve operational issues affecting downstream integrations to unblock dependent teams,Run,BLACK,Business Maintenance,Process support changes,MEDIUM
549,Security & Vulnerability Management,Remediate identified vulnerabilities in shared services to enable required business functionality,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM
550,Acquisitions ART Production Support,Stabilize acquisition-related batch processing to unblock dependent teams,Run,BLACK,Business Maintenance,Process support changes,MEDIUM
551,Migrated Delivery,Address technical debt introduced during migration to unblock dependent teams,Run,BLACK,Technical Maintenance,Tech debt reduction,MEDIUM
552,Security & Vulnerability Management,Update security scanning rules and suppression logic to support production operations,Run,GRAY,KTLO (Keep the Lights On),Security operations,HIGH
553,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead to enable required business functionality,Change,GREEN,Other Blocked Priority,Incremental improvements,MEDIUM
554,Acquisitions ART Production Support,Resolve operational issues affecting downstream integrations to unblock dependent teams,Run,GRAY,KTLO (Keep the Lights On),Acquisition operations,MEDIUM
555,Security & Vulnerability Management,Update security scanning rules and suppression logic to support production operations,Run,GRAY,KTLO (Keep the Lights On),Security operations,HIGH
556,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services to drive continuous improvement,Run,GRAY,KTLO (Keep the Lights On),Reliability operations,MEDIUM
557,Acquisitions ART Production Support,Resolve operational issues affecting downstream integrations to unblock dependent teams,Run,BLACK,Business Maintenance,Process support changes,MEDIUM
558,Continuous Improvement Feature,Improve observability and logging standards to unblock dependent teams,Run,GRAY,KTLO (Keep the Lights On),Operational improvement,MEDIUM
559,Migrated Delivery,Stabilize workloads following platform migration to unblock dependent teams,Change,YELLOW,Top Divisional Priority,Migration completion,MEDIUM
560,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads to unblock dependent teams,Run,BLACK,Technical Maintenance,Reliability improvement,MEDIUM
561,Migrated Delivery,Stabilize workloads following platform migration to unblock dependent teams,Change,YELLOW,Top Divisional Priority,Migration completion,MEDIUM
562,Migrated Delivery,Address technical debt introduced during migration to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
563,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads to drive continuous improvement,Run,GRAY,KTLO (Keep the Lights On),Reliability operations,MEDIUM
564,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services to enable required business functionality,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
565,Security & Vulnerability Management,Harden service configurations based on security findings to drive continuous improvement,Change,GREEN,Other Blocked Priority,Security improvements,MEDIUM
566,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services to enable required business functionality,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
567,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services to drive continuous improvement,Change,ORANGE,Enterprise Strategic Priority,Reliability engineering,MEDIUM
568,Security & Vulnerability Management,Harden service configurations based on security findings as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Security hardening,HIGH
569,Security & Vulnerability Management,Update security scanning rules and suppression logic to enable required business functionality,Run,BLACK,Technical Maintenance,Security hardening,MEDIUM
570,Migrated Delivery,Address technical debt introduced during migration to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
571,Security & Vulnerability Management,Harden service configurations based on security findings to unblock dependent teams,Change,ORANGE,Enterprise Strategic Priority,Security infrastructure,MEDIUM
572,Continuous Improvement Feature,Improve observability and logging standards to enable required business functionality,Change,ORANGE,Enterprise Strategic Priority,Process transformation,MEDIUM
573,Migrated Delivery,Resolve post-migration defects impacting service delivery to drive continuous improvement,Change,ORANGE,Enterprise Strategic Priority,Migration transformation,MEDIUM
574,Migrated Delivery,Stabilize workloads following platform migration to enable required business functionality,Run,GRAY,KTLO (Keep the Lights On),Post-migration stabilization,MEDIUM
575,Continuous Improvement Feature,Optimize deployment workflows for improved reliability to enable required business functionality,Change,YELLOW,Top Divisional Priority,CI initiative,MEDIUM
576,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
577,Security & Vulnerability Management,Remediate identified vulnerabilities in shared services to drive continuous improvement,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM
578,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads to unblock dependent teams,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
579,Security & Vulnerability Management,Harden service configurations based on security findings to unblock dependent teams,Run,BLACK,Technical Maintenance,Security hardening,MEDIUM
580,Continuous Improvement Feature,Improve observability and logging standards as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Observability,HIGH
581,Acquisitions ART Production Support,Resolve operational issues affecting downstream integrations as part of ongoing maintenance activities,Run,BLACK,Business Maintenance,Process support changes,HIGH
582,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead to drive continuous improvement,Change,GREEN,Other Blocked Priority,Incremental improvements,MEDIUM
583,Acquisitions ART Production Support,Stabilize acquisition-related batch processing to unblock dependent teams,Run,GRAY,KTLO (Keep the Lights On),Acquisition operations,MEDIUM
584,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead to drive continuous improvement,Change,ORANGE,Enterprise Strategic Priority,Process transformation,MEDIUM
585,Security & Vulnerability Management,Update security scanning rules and suppression logic to support production operations,Run,GRAY,KTLO (Keep the Lights On),Security operations,HIGH
586,Migrated Delivery,Resolve post-migration defects impacting service delivery to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
587,Security & Vulnerability Management,Remediate identified vulnerabilities in shared services as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Security hardening,HIGH
588,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
589,Acquisitions ART Production Support,Stabilize acquisition-related batch processing to enable required business functionality,Run,BLACK,Business Maintenance,Process support changes,MEDIUM
590,Security & Vulnerability Management,Update security scanning rules and suppression logic to support production operations,Run,GRAY,KTLO (Keep the Lights On),Security operations,HIGH
591,Security & Vulnerability Management,Harden service configurations based on security findings as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Security hardening,HIGH
592,Migrated Delivery,Address technical debt introduced during migration to unblock dependent teams,Run,BLACK,Technical Maintenance,Tech debt reduction,MEDIUM
593,Security & Vulnerability Management,Update security scanning rules and suppression logic as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Security hardening,HIGH
594,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows as part of ongoing maintenance activities,Run,BLACK,Business Maintenance,Process support changes,HIGH
595,Security & Vulnerability Management,Update security scanning rules and suppression logic to enable required business functionality,Run,GRAY,KTLO (Keep the Lights On),Security operations,MEDIUM
596,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads to enable required business functionality,Change,YELLOW,Top Divisional Priority,SRE initiative,MEDIUM
597,Security & Vulnerability Management,Update security scanning rules and suppression logic to drive continuous improvement,Change,GREEN,Other Blocked Priority,Security improvements,MEDIUM
598,Security & Vulnerability Management,Update security scanning rules and suppression logic to enable required business functionality,Change,ORANGE,Enterprise Strategic Priority,Security infrastructure,MEDIUM
599,Migrated Delivery,Stabilize workloads following platform migration to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
600,Security & Vulnerability Management,Harden service configurations based on security findings to unblock dependent teams,Change,YELLOW,Top Divisional Priority,Security initiative,MEDIUM
601,Security & Vulnerability Management,Update security scanning rules and suppression logic to drive continuous improvement,Change,YELLOW,Top Divisional Priority,Security initiative,MEDIUM
602,Security & Vulnerability Management,Remediate identified vulnerabilities in shared services as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Security hardening,HIGH
603,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
604,Continuous Improvement Feature,Optimize deployment workflows for improved reliability as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Optimization,HIGH
605,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead to enable required business functionality,Change,GREEN,Other Blocked Priority,Incremental improvements,MEDIUM
606,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to enable required business functionality,Change,ORANGE,Enterprise Strategic Priority,Acquisition integration,MEDIUM
607,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to drive continuous improvement,Change,GREEN,Other Blocked Priority,Acquisition improvements,MEDIUM
608,Acquisitions ART Production Support,Stabilize acquisition-related batch processing to unblock dependent teams,Run,BLACK,Business Maintenance,Process support changes,MEDIUM
609,Security & Vulnerability Management,Remediate identified vulnerabilities in shared services as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Security hardening,HIGH
610,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services to unblock dependent teams,Run,GRAY,KTLO (Keep the Lights On),Reliability operations,MEDIUM
611,Security & Vulnerability Management,Update security scanning rules and suppression logic to unblock dependent teams,Change,ORANGE,Enterprise Strategic Priority,Security infrastructure,MEDIUM
612,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads to enable required business functionality,Change,YELLOW,Top Divisional Priority,SRE initiative,MEDIUM
613,Migrated Delivery,Resolve post-migration defects impacting service delivery to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
614,Continuous Improvement Feature,Optimize deployment workflows for improved reliability to drive continuous improvement,Change,ORANGE,Enterprise Strategic Priority,Process transformation,MEDIUM
615,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
616,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services to unblock dependent teams,Change,ORANGE,Enterprise Strategic Priority,Reliability engineering,MEDIUM
617,Security & Vulnerability Management,Harden service configurations based on security findings to unblock dependent teams,Run,BLACK,Technical Maintenance,Security hardening,MEDIUM
618,Continuous Improvement Feature,Optimize deployment workflows for improved reliability to unblock dependent teams,Run,BLACK,Technical Maintenance,Optimization,MEDIUM
619,Continuous Improvement Feature,Improve observability and logging standards to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
620,Migrated Delivery,Stabilize workloads following platform migration to drive continuous improvement,Run,GRAY,KTLO (Keep the Lights On),Post-migration stabilization,MEDIUM
621,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to unblock dependent teams,Change,ORANGE,Enterprise Strategic Priority,Acquisition integration,MEDIUM
622,Continuous Improvement Feature,Improve observability and logging standards as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Observability,HIGH
623,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
624,Security & Vulnerability Management,Update security scanning rules and suppression logic to drive continuous improvement,Run,BLACK,Technical Maintenance,Security hardening,MEDIUM
625,Migrated Delivery,Address technical debt introduced during migration as part of ongoing maintenance activities,Run,BLACK,Business Maintenance,Process support changes,HIGH
626,Continuous Improvement Feature,Optimize deployment workflows for improved reliability to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
627,Migrated Delivery,Address technical debt introduced during migration to drive continuous improvement,Change,ORANGE,Enterprise Strategic Priority,Migration transformation,MEDIUM
628,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to unblock dependent teams,Run,GRAY,KTLO (Keep the Lights On),Acquisition operations,MEDIUM
629,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to unblock dependent teams,Run,BLACK,Business Maintenance,Process support changes,MEDIUM
630,Continuous Improvement Feature,Optimize deployment workflows for improved reliability to unblock dependent teams,Run,BLACK,Technical Maintenance,Optimization,MEDIUM
631,Security & Vulnerability Management,Update security scanning rules and suppression logic to drive continuous improvement,Run,GRAY,KTLO (Keep the Lights On),Security operations,MEDIUM
632,Continuous Improvement Feature,Optimize deployment workflows for improved reliability to unblock dependent teams,Run,GRAY,KTLO (Keep the Lights On),Operational improvement,MEDIUM
633,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead to drive continuous improvement,Run,BLACK,Technical Maintenance,Tech debt reduction,MEDIUM
634,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
635,Continuous Improvement Feature,Optimize deployment workflows for improved reliability to unblock dependent teams,Run,BLACK,Technical Maintenance,Optimization,MEDIUM
636,Migrated Delivery,Address technical debt introduced during migration to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
637,Security & Vulnerability Management,Harden service configurations based on security findings to drive continuous improvement,Change,ORANGE,Enterprise Strategic Priority,Security infrastructure,MEDIUM
638,Continuous Improvement Feature,Improve observability and logging standards to enable required business functionality,Change,YELLOW,Top Divisional Priority,CI initiative,MEDIUM
639,Acquisitions ART Production Support,Stabilize acquisition-related batch processing to enable required business functionality,Change,YELLOW,Top Divisional Priority,Acquisition initiative,MEDIUM
640,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
641,Acquisitions ART Production Support,Stabilize acquisition-related batch processing to enable required business functionality,Run,BLACK,Business Maintenance,Process support changes,MEDIUM
642,Continuous Improvement Feature,Improve observability and logging standards to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
643,Continuous Improvement Feature,Improve observability and logging standards as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Observability,HIGH
644,Migrated Delivery,Address technical debt introduced during migration to unblock dependent teams,Run,BLACK,Technical Maintenance,Tech debt reduction,MEDIUM
645,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
646,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
647,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads to enable required business functionality,Change,ORANGE,Enterprise Strategic Priority,Reliability engineering,MEDIUM
648,Migrated Delivery,Stabilize workloads following platform migration as part of ongoing maintenance activities,Run,BLACK,Business Maintenance,Process support changes,HIGH
649,Migrated Delivery,Stabilize workloads following platform migration to unblock dependent teams,Run,BLACK,Technical Maintenance,Platform upgrades,HIGH
650,Continuous Improvement Feature,Improve observability and logging standards as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Observability,HIGH
651,Acquisitions ART Production Support,Stabilize acquisition-related batch processing to drive continuous improvement,Run,BLACK,Business Maintenance,Process support changes,MEDIUM
652,Security & Vulnerability Management,Remediate identified vulnerabilities in shared services to unblock dependent teams,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM
653,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead to drive continuous improvement,Run,BLACK,Technical Maintenance,Tech debt reduction,MEDIUM
654,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to enable required business functionality,Run,BLACK,Business Maintenance,Process support changes,MEDIUM
655,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to enable required business functionality,Run,BLACK,Business Maintenance,Process support changes,MEDIUM
656,Acquisitions ART Production Support,Resolve operational issues affecting downstream integrations to unblock dependent teams,Change,ORANGE,Enterprise Strategic Priority,Acquisition integration,MEDIUM
657,Migrated Delivery,Address technical debt introduced during migration to drive continuous improvement,Change,GREEN,Other Blocked Priority,Post-migration improvements,MEDIUM
658,Security & Vulnerability Management,Remediate identified vulnerabilities in shared services as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Security hardening,HIGH
659,Acquisitions ART Production Support,Stabilize acquisition-related batch processing to drive continuous improvement,Run,GRAY,KTLO (Keep the Lights On),Acquisition operations,MEDIUM
660,Migrated Delivery,Resolve post-migration defects impacting service delivery to enable required business functionality,Run,BLACK,Technical Maintenance,Platform upgrades,MEDIUM
661,Migrated Delivery,Stabilize workloads following platform migration to enable required business functionality,Run,BLACK,Technical Maintenance,Platform upgrades,HIGH
662,Migrated Delivery,Address technical debt introduced during migration to drive continuous improvement,Run,GRAY,KTLO (Keep the Lights On),Post-migration stabilization,MEDIUM
663,Acquisitions ART Production Support,Resolve operational issues affecting downstream integrations to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
664,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads to unblock dependent teams,Change,ORANGE,Enterprise Strategic Priority,Reliability engineering,MEDIUM
665,Migrated Delivery,Stabilize workloads following platform migration to enable required business functionality,Run,BLACK,Technical Maintenance,Platform upgrades,HIGH
666,Security & Vulnerability Management,Remediate identified vulnerabilities in shared services as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Security hardening,HIGH
667,Acquisitions ART Production Support,Stabilize acquisition-related batch processing to unblock dependent teams,Change,YELLOW,Top Divisional Priority,Acquisition initiative,MEDIUM
668,Acquisitions ART Production Support,Stabilize acquisition-related batch processing to enable required business functionality,Run,BLACK,Business Maintenance,Process support changes,MEDIUM
669,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services to drive continuous improvement,Change,GREEN,Other Blocked Priority,Resilience improvements,MEDIUM
670,Acquisitions ART Production Support,Stabilize acquisition-related batch processing to drive continuous improvement,Run,BLACK,Business Maintenance,Process support changes,MEDIUM
671,Migrated Delivery,Address technical debt introduced during migration as part of ongoing maintenance activities,Run,BLACK,Business Maintenance,Process support changes,HIGH
672,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms to drive continuous improvement,Run,GRAY,KTLO (Keep the Lights On),Reliability operations,MEDIUM
673,Migrated Delivery,Stabilize workloads following platform migration to drive continuous improvement,Run,BLACK,Technical Maintenance,Platform upgrades,HIGH
674,Security & Vulnerability Management,Harden service configurations based on security findings to drive continuous improvement,Run,GRAY,KTLO (Keep the Lights On),Security operations,MEDIUM
675,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
676,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
677,Security & Vulnerability Management,Remediate identified vulnerabilities in shared services to enable required business functionality,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM
678,Acquisitions ART Production Support,Resolve operational issues affecting downstream integrations to unblock dependent teams,Run,BLACK,Business Maintenance,Process support changes,MEDIUM
679,Migrated Delivery,Address technical debt introduced during migration to drive continuous improvement,Run,BLACK,Technical Maintenance,Tech debt reduction,HIGH
680,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
681,Migrated Delivery,Resolve post-migration defects impacting service delivery to enable required business functionality,Run,BLACK,Technical Maintenance,Platform upgrades,MEDIUM
682,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to drive continuous improvement,Change,GREEN,Other Blocked Priority,Acquisition improvements,MEDIUM
683,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services to drive continuous improvement,Run,GRAY,KTLO (Keep the Lights On),Reliability operations,MEDIUM
684,Migrated Delivery,Resolve post-migration defects impacting service delivery to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
685,Acquisitions ART Production Support,Stabilize acquisition-related batch processing as part of ongoing maintenance activities,Run,BLACK,Business Maintenance,Process support changes,HIGH
686,Acquisitions ART Production Support,Stabilize acquisition-related batch processing to unblock dependent teams,Change,ORANGE,Enterprise Strategic Priority,Acquisition integration,MEDIUM
687,Migrated Delivery,Resolve post-migration defects impacting service delivery to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
688,Security & Vulnerability Management,Update security scanning rules and suppression logic to unblock dependent teams,Change,ORANGE,Enterprise Strategic Priority,Security infrastructure,MEDIUM
689,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to unblock dependent teams,Run,GRAY,KTLO (Keep the Lights On),Acquisition operations,MEDIUM
690,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to enable required business functionality,Change,ORANGE,Enterprise Strategic Priority,Acquisition integration,MEDIUM
691,Acquisitions ART Production Support,Stabilize acquisition-related batch processing to unblock dependent teams,Run,BLACK,Business Maintenance,Process support changes,MEDIUM
692,Migrated Delivery,Address technical debt introduced during migration as part of ongoing maintenance activities,Run,BLACK,Business Maintenance,Process support changes,HIGH
693,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services to unblock dependent teams,Change,ORANGE,Enterprise Strategic Priority,Reliability engineering,MEDIUM
694,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
